date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
20200505,0,0,0.8395,0.371775,0.35821457,0.17181,-0.218066667,0,0,0.480273077,0.400736364,0,-0.139975,0,0.428390909,0.16046875,0,0.03845,0.3701,0.406968421,0.108921569,0.3818,0.2552,0.8049,0.24068,-0.01985,0.9362,0.4527,0,0.7717,0.5719,0.393014286,0,0.458711111,0.334928125,0.261046667,0.009,0.10685,0.31055,0.2086,0.2355,0,0.5021375,0.406165306,0.38435,0.2996,0.763775,0.222857895,0.1974,0.28595,0.0772
20200506,0,0.5884,0.4019,0.1188,0.321213559,0.37002,0.34425,0,0,0.076927778,0.411188235,0,0.3454,0,0.3317125,0.3884875,0,0.29635,0.24594375,0.158085714,0.181409756,-0.07655,0.155775,0.63215,0.385366667,0.85615,0.9167,0.291866667,0,0.7003,0,0.421777778,0.24992,0.490258333,0.365388095,0.53734375,0.00384,0.0462,0.541466667,0.9902,0.304688889,0,0.128,0.257127536,0.679233333,0,0.6297,0.01538125,0.18568,0,0
20200507,0,0.6465,-0.0676,0.2561,0.332572143,0.6431625,0.6966,0,0.4724,0.124152632,0.334917241,0,0.370266667,0.2481,0.251866667,0.320953846,0.8392,0.58902,0.07224,0.403475,0.062327083,0.6209,0.4066,0.770666667,0.38645,0.728,0.4019,0.444355556,0,0.2759,0,0.341378947,0.148,0.252311111,0.344733333,0.331953333,0.341533333,0.075116667,0.339214286,0.523233333,0.083688889,0,0.189669231,0.280666667,0.133333333,0.33818,0.3998125,0.231891667,0.4604,0.210433333,0
20200508,0,0.6597,0.02518,0.56265,0.318224138,0.2259,0.20235,0,0,0.115413333,0.299866667,0,0.401166667,-0.60805,0.37846,0.145551613,-0.6333,0.231166667,0.227416667,0.28972,0.254970732,0.6486,-0.2364,0.1811625,0,0.8788,0,0.15794,0,0,0,0.36162,0.301225,0.496583333,0.130736364,0.209744444,0.495933333,0.2341,0.0866,0.37835,-0.0672,0,0.37735,0.360731429,0.200775,0.216633333,0.334125,0.379827273,0.64665,0.568166667,0.3404
20200509,0,0,0,0.687425,0.285334043,0.473544444,-0.1994,0,0,0.174807407,0.226391176,0,0.42855,0.60985,0.221016667,0.195418182,0,0.54856,0.426266667,0.59564,0.27804717,0.5859,0.59538,0.8555,0.31288,-0.10115,0.6369,0.200925,0,0,0,0.2344,0.5859,-0.0991125,0.234551351,0.481221429,0.38075,0.17364,0.478233333,0.17755,0.483588889,0,0.653833333,0.389302703,0.48608,0.225577778,0.412033333,0.220494118,0.25185,0.27055,0
20200510,0,0,0.5748,0.56685,0.380090805,0.399907692,0,0,0,0.193923077,0.458638889,0,0.9192,0.6114,0.049542857,0.690141176,0,0.577433333,0.24468,0.16526,-0.208855556,0,0.837975,-0.2732,0.41065,0.46222,0,0.625328571,0,0,0.7012,0.033864706,-0.20685,0.652816667,0.341935714,0.236927273,-0.2787,0.207769231,0.368914286,0,0.220233333,0,0.506666667,0.4581,0,0.20615,0.3141,0.21655,0.55015,0,0
20200511,0,0,0.5929,0.477828571,0.220327586,0.29346,0.625233333,0,0.382066667,0.2842125,0.2360625,0,0.412633333,0.2287,0.2083,0.290254545,0.3595,0.8516,0.4765125,0.3728,0.239413043,0,-0.44695,0.226933333,0.329214286,0.1315,0,0.316356522,0,0,0,0.432188889,0.812,0.2202,0.326161111,0.33225,0.8271,0.024966667,0.20614,0,0.7145,0,0.1753875,0.276778788,0.066566667,0.569033333,-0.09225,-0.010946667,0.5106,0.5538,0
20200512,0,0,0.402266667,-0.170383333,0.337982857,0.369966667,0,0,0,0.399166667,0.19795,0,-0.309866667,0.4693,0.40348,0.33615,0.3182,0.4093,0.23,-0.069733333,0.241023256,0,0.41792,0.0493,0.247466667,0.5459,-0.6249,0.3450875,0,-0.3818,0,0.141915385,0,0.120985714,0.293382051,0.07351,0.006,0.35556,0.0836,0.6908,0.25345,0,0.372214286,0.18184,0.440866667,0.2864375,0.5932,-0.018095455,0.40915,0.07655,0
20200513,0,0.630066667,0.6808,0.419257143,0.27682,0,0.113066667,0,0,0.316888889,0.20607619,0,0,0.6114,0.33366,0.137906667,0.4215,0.9221,0.25108,0.3527,0.234983333,0,0.2903,-0.092,0.097666667,0.353,-0.2732,0.084409091,0,0.43095,0,0.33299,-0.54475,0.286071429,0.3154175,0.1483,0.728,0.35436,0.408728571,0,0.12025,0,0.142383333,0.178377586,-0.2713,0.256083333,0.197688889,0.1232375,0.1945,0.969,0
20200514,0,0.144666667,0.4017,0.17835,0.396359459,0.45872,0.21915,0,0,0.26705625,0.283702941,0,0.57155,0.190371429,0.4831,0.478595652,0,-0.308375,0.214927273,0.350226667,0.136233333,0,-0.125,0.41152,-0.18075,0.257742857,0,0.2995,0,0,0,0.341126667,0.128,0.26856,0.3998425,0.28056875,-0.02075,0.333333333,0.244942857,-0.078466667,0.2732,0,0.444766667,0.102019565,0.268,-0.256033333,0.684628571,0.1639375,-0.0801,0,0
